Dates,Total Rating
2016_07_26 03_50,116671
2016_07_26 04_00,116671
2016_07_26 04_10,116671
2016_07_26 04_20,116671
2016_07_26 04_30,116671
2016_07_26 04_40,116671
2016_07_26 04_50,116671
2016_07_26 05_00,116671
2016_07_26 05_10,116671
2016_07_26 05_20,116671
2016_07_26 05_30,116671
2016_07_26 05_40,116671
2016_07_26 05_50,116671
2016_07_26 06_00,116671
2016_07_26 06_10,116671
2016_07_26 06_20,116671
2016_07_26 06_30,116671
2016_07_26 06_40,116671
2016_07_26 06_50,116671
2016_07_26 07_00,116671
2016_07_26 07_10,116671
2016_07_26 07_20,116671
2016_07_26 07_30,116671
2016_07_26 07_40,116671
2016_07_26 07_50,116671
2016_07_26 08_00,116671
2016_07_26 08_10,116671
2016_07_26 08_20,116671
2016_07_26 08_30,116671
2016_07_26 08_40,116671
2016_07_26 08_50,116671
2016_07_26 09_00,116671
2016_07_26 09_10,116671
2016_07_26 09_20,116671
2016_07_26 09_30,116671
2016_07_26 09_40,116671
2016_07_26 09_50,116671
2016_07_26 10_00,116671
2016_07_26 10_10,116671
2016_07_26 10_20,116671
2016_07_26 10_30,116671
2016_07_26 10_40,116671
2016_07_26 10_50,116671
2016_07_26 11_00,116671
2016_07_26 11_10,116887
2016_07_26 11_20,116887
2016_07_26 11_30,116887
2016_07_26 11_40,116887
2016_07_26 11_50,116887
2016_07_26 12_00,116887
2016_07_26 12_10,116887
2016_07_26 12_20,116887
2016_07_26 12_30,116887
2016_07_26 12_40,116887
2016_07_26 12_50,116887
2016_07_26 13_00,116887
2016_07_26 13_10,116887
2016_07_26 13_20,116887
2016_07_26 13_30,116887
2016_07_26 13_40,116887
2016_07_26 13_50,116887
2016_07_26 14_00,116887
2016_07_26 14_10,116887
2016_07_26 14_20,116887
2016_07_26 14_30,116887
2016_07_26 14_40,116887
2016_07_26 14_50,116887
2016_07_26 15_00,116887
2016_07_26 15_10,117133
2016_07_26 15_20,117133
2016_07_26 15_30,117133
2016_07_26 15_40,117133
2016_07_26 15_50,117133
2016_07_26 16_00,117133
2016_07_26 16_10,117133
2016_07_26 16_20,117133
2016_07_26 16_30,117133
2016_07_26 16_40,117133
2016_07_26 16_50,117133
2016_07_26 17_00,117133
2016_07_26 17_10,117133
2016_07_26 17_20,117133
2016_07_26 17_30,117133
2016_07_26 17_40,117133
2016_07_26 17_50,117133
2016_07_26 18_00,117133
2016_07_26 18_10,117133
2016_07_26 18_20,117133
2016_07_26 18_30,117133
2016_07_26 18_40,117133
2016_07_26 18_50,117133
2016_07_26 19_00,117133
2016_07_26 19_10,117431
2016_07_26 19_20,117431
2016_07_26 19_30,117431
2016_07_26 19_40,117431
2016_07_26 19_50,117431
2016_07_26 20_00,117431
2016_07_26 20_10,117431
2016_07_26 20_20,117431
2016_07_26 20_30,117431
2016_07_26 20_40,117431
2016_07_26 20_50,117431
2016_07_26 21_00,117431
2016_07_26 21_10,117431
2016_07_26 21_20,117431
2016_07_26 21_30,117431
2016_07_26 21_40,117431
2016_07_26 21_50,117431
2016_07_26 22_00,117431
2016_07_26 22_10,117431
2016_07_26 22_20,117431
2016_07_26 22_30,117431
2016_07_26 22_40,117431
2016_07_26 22_50,117431
2016_07_26 23_00,117431
2016_07_26 23_10,117431
2016_07_26 23_20,117431
2016_07_26 23_30,117700
2016_07_26 23_40,117700
2016_07_26 23_50,117700
2016_07_27 00_00,117700
2016_07_27 00_10,117700
2016_07_27 00_20,117700
2016_07_27 00_30,117700
2016_07_27 00_40,117700
2016_07_27 00_50,117700
2016_07_27 01_00,117700
2016_07_27 01_10,117700
2016_07_27 01_20,117700
2016_07_27 01_30,117700
2016_07_27 01_40,117700
2016_07_27 01_50,117700
2016_07_27 02_00,117700
