Dates,Total Rating
2016_07_24 21_20,1563182
2016_07_24 21_30,1563182
2016_07_24 21_40,1563182
2016_07_24 21_50,1563182
2016_07_24 22_00,1563182
2016_07_24 22_10,1563182
2016_07_24 22_20,1563182
2016_07_24 22_30,1563182
2016_07_24 22_40,1563182
2016_07_24 22_50,1563182
2016_07_24 23_00,1563182
2016_07_24 23_10,1563182
2016_07_24 23_20,1563182
2016_07_24 23_30,1563182
2016_07_24 23_40,1563182
2016_07_24 23_50,1563182
2016_07_25 00_00,1563182
2016_07_25 00_10,1563182
2016_07_25 00_20,1563182
2016_07_25 00_30,1563182
2016_07_25 00_40,1569172
2016_07_25 00_50,1569172
2016_07_25 01_00,1569172
2016_07_25 01_10,1569172
2016_07_25 01_20,1569172
2016_07_25 01_30,1569172
2016_07_25 01_40,1569172
2016_07_25 01_50,1569172
2016_07_25 02_00,1569172
2016_07_25 02_10,1569172
2016_07_25 02_20,1569172
2016_07_25 02_30,1569172
2016_07_25 02_40,1569172
2016_07_25 02_50,1569172
2016_07_25 03_00,1569172
2016_07_25 03_10,1569172
2016_07_25 03_20,1569172
2016_07_25 03_30,1569172
2016_07_25 03_40,1569172
2016_07_25 03_50,1569172
2016_07_25 04_00,1569172
2016_07_25 04_10,1569172
2016_07_25 04_20,1569172
2016_07_25 04_30,1569172
2016_07_25 04_40,1579179
2016_07_25 04_50,1579179
2016_07_25 05_00,1579179
2016_07_25 05_10,1579179
2016_07_25 05_20,1579179
2016_07_25 05_30,1579179
2016_07_25 05_40,1579179
2016_07_25 05_50,1579179
2016_07_25 06_00,1579179
2016_07_25 06_10,1579179
2016_07_25 06_20,1579179
2016_07_25 06_30,1579179
2016_07_25 06_40,1579179
2016_07_25 06_50,1579179
2016_07_25 07_00,1579179
2016_07_25 07_10,1579179
2016_07_25 07_20,1579179
2016_07_25 07_30,1579179
2016_07_25 07_40,1579179
2016_07_25 07_50,1579179
2016_07_25 08_00,1579179
2016_07_25 08_10,1579179
2016_07_25 08_20,1579179
2016_07_25 08_30,1579179
2016_07_25 08_40,1592729
2016_07_25 08_50,1592729
2016_07_25 09_00,1592729
2016_07_25 09_10,1592729
2016_07_25 09_20,1592729
2016_07_25 09_30,1592729
2016_07_25 09_40,1592729
2016_07_25 09_50,1592729
2016_07_25 10_00,1592729
2016_07_25 10_10,1592729
2016_07_25 10_20,1592729
2016_07_25 10_30,1592729
2016_07_25 10_40,1592729
2016_07_25 10_50,1592729
2016_07_25 11_00,1592729
2016_07_25 11_10,1592729
2016_07_25 11_20,1592729
2016_07_25 11_30,1592729
2016_07_25 11_40,1592729
2016_07_25 11_50,1592729
2016_07_25 12_00,1592729
2016_07_25 12_10,1592729
2016_07_25 12_20,1592729
2016_07_25 12_30,1592729
2016_07_25 12_40,1607139
2016_07_25 12_50,1607139
2016_07_25 13_00,1607139
2016_07_25 13_10,1607139
2016_07_25 13_20,1607139
2016_07_25 13_30,1607139
2016_07_25 13_40,1607139
2016_07_25 13_50,1607139
2016_07_25 14_00,1607139
2016_07_25 14_10,1607139
2016_07_25 14_20,1607139
2016_07_25 14_30,1607139
2016_07_25 14_40,1607139
2016_07_25 14_50,1607139
2016_07_25 15_00,1607139
2016_07_25 15_10,1607139
2016_07_25 15_20,1607139
2016_07_25 15_30,1607139
2016_07_25 15_40,1607139
2016_07_25 15_50,1607139
2016_07_25 16_00,1607139
2016_07_25 16_10,1607139
2016_07_25 16_20,1607139
2016_07_25 16_30,1607139
2016_07_25 16_40,1620363
2016_07_25 16_50,1620363
2016_07_25 17_00,1620363
2016_07_25 17_10,1620363
2016_07_25 17_20,1620363
2016_07_25 17_30,1620363
2016_07_25 17_40,1620363
2016_07_25 17_50,1620363
2016_07_25 18_00,1620363
2016_07_25 18_10,1620363
2016_07_25 18_20,1620363
2016_07_25 18_30,1620363
2016_07_25 18_40,1620363
2016_07_25 18_50,1620363
2016_07_25 19_00,1620363
2016_07_25 19_10,1620363
2016_07_25 19_20,1620363
2016_07_25 19_30,1620363
